Year,Area,Legally registered relationship status,Sex,Age group,Partnership status in current relationship,Value,Flags
"2018","Timaru District","Total people - legally registered relationship status","Female","45-54 years","Non-partnered, divorced or dissolved (marriage or civil union)",267,
"2018","Timaru District","Total people - legally registered relationship status","Male","55-64 years","Non-partnered, divorced or dissolved (marriage or civil union)",228,
"2018","Timaru District","Total people - legally registered relationship status","Female","55-64 years","Non-partnered, divorced or dissolved (marriage or civil union)",336,
"2018","Timaru District","Total people - legally registered relationship status","Male","65 years and over","Non-partnered, divorced or dissolved (marriage or civil union)",288,
"2018","Timaru District","Total people - legally registered relationship status","Female","65 years and over","Non-partnered, divorced or dissolved (marriage or civil union)",453,
"2018","Timaru District","Total people - legally registered relationship status","Male","65 years and over","Non-partnered, widowed or surviving civil union partner",453,
"2018","Timaru District","Total people - legally registered relationship status","Female","65 years and over","Non-partnered, widowed or surviving civil union partner",1599,
"2018","Timaru District","Total people - legally registered relationship status","Male","55-64 years","Non-partnered, widowed or surviving civil union partner",39,
"2018","Timaru District","Total people - legally registered relationship status","Female","55-64 years","Non-partnered, widowed or surviving civil union partner",144,
"2018","Timaru District","Total people - legally registered relationship status","Male","45-54 years","Non-partnered, widowed or surviving civil union partner",9,
"2018","Timaru District","Total people - legally registered relationship status","Female","45-54 years","Non-partnered, widowed or surviving civil union partner",39,
"2018","Timaru District","Total people - legally registered relationship status","Male","35-44 years","Non-partnered, widowed or surviving civil union partner",3,
"2018","Timaru District","Total people - legally registered relationship status","Female","35-44 years","Non-partnered, widowed or surviving civil union partner",9,
"2018","Timaru District","Total people - legally registered relationship status","Male","25-34 years","Non-partnered, widowed or surviving civil union partner",0,
"2018","Timaru District","Total people - legally registered relationship status","Female","25-34 years","Non-partnered, widowed or surviving civil union partner",6,
"2018","Timaru District","Total people - legally registered relationship status","Male","15-24 years","Non-partnered, widowed or surviving civil union partner",6,
"2018","Timaru District","Total people - legally registered relationship status","Female","15-24 years","Non-partnered, widowed or surviving civil union partner",3,
"2018","Timaru District","Total people - legally registered relationship status","Male","15-24 years","Non-partnered, never married and never in a civil union",1737,
"2018","Timaru District","Total people - legally registered relationship status","Female","15-24 years","Non-partnered, never married and never in a civil union",1473,
"2018","Timaru District","Total people - legally registered relationship status","Male","25-34 years","Non-partnered, never married and never in a civil union",636,
"2018","Timaru District","Total people - legally registered relationship status","Female","25-34 years","Non-partnered, never married and never in a civil union",549,
"2018","Timaru District","Total people - legally registered relationship status","Male","35-44 years","Non-partnered, never married and never in a civil union",303,
"2018","Timaru District","Total people - legally registered relationship status","Female","35-44 years","Non-partnered, never married and never in a civil union",309,
"2018","Timaru District","Total people - legally registered relationship status","Male","45-54 years","Non-partnered, never married and never in a civil union",348,
"2018","Timaru District","Total people - legally registered relationship status","Female","45-54 years","Non-partnered, never married and never in a civil union",306,
"2018","Timaru District","Total people - legally registered relationship status","Male","55-64 years","Non-partnered, never married and never in a civil union",279,
"2018","Timaru District","Total people - legally registered relationship status","Female","55-64 years","Non-partnered, never married and never in a civil union",171,
"2018","Timaru District","Total people - legally registered relationship status","Male","65 years and over","Non-partnered, never married and never in a civil union",168,
"2018","Timaru District","Total people - legally registered relationship status","Female","65 years and over","Non-partnered, never married and never in a civil union",156,
"2018","Timaru District","Total people - legally registered relationship status","Male","15-24 years","Not stated",552,
"2018","Timaru District","Total people - legally registered relationship status","Female","15-24 years","Not stated",333,
"2018","Timaru District","Total people - legally registered relationship status","Male","25-34 years","Not stated",495,
"2018","Timaru District","Total people - legally registered relationship status","Female","25-34 years","Not stated",321,
"2018","Timaru District","Total people - legally registered relationship status","Male","35-44 years","Not stated",303,
"2018","Timaru District","Total people - legally registered relationship status","Female","35-44 years","Not stated",210,
"2018","Timaru District","Total people - legally registered relationship status","Male","45-54 years","Not stated",306,
"2018","Timaru District","Total people - legally registered relationship status","Female","45-54 years","Not stated",222,
"2018","Timaru District","Total people - legally registered relationship status","Male","55-64 years","Not stated",246,
"2018","Timaru District","Total people - legally registered relationship status","Female","55-64 years","Not stated",189,
"2018","Timaru District","Total people - legally registered relationship status","Male","65 years and over","Not stated",279,
"2018","Timaru District","Total people - legally registered relationship status","Female","65 years and over","Not stated",363,
